nouns,entities,verbs,adjectives,sentiment,magnitude,affects_more_than_x,impacts_cia,is_confirmed,is_incident
-0.5,-0.5,0.1,0.7,-0.4,0.8,1,1,1,1
-0.2,0,0.2,0,-0.1,0.1,1,0,1,0
-0.1,-0.5,-0.4,-0.3,-0.3,1,1,0,1,1
0.1,0,-0.7,0,-0.8,0.8,0,1,0.5,0
-0.2,-0.25,-0.9,0,-0.6,1.3,1,1,1,1
0,-0.2,0.3,0,0.7,0.7,0,0,1,0
-0.1,-0.25,-0.6,0,-0.4,3.7,1,1,1,1
0.4,-0.1,0,-0.3,-0.8,0.8,0.5,0.5,1,1
0,0,0.1,0.1,0,0,1,0,1,0
0.1,0,0.2,0,0,0,1,0,0.5,0
-0.6,-0.275,-0.6,0,-0.3,1,1,1,1,1
-0.8,-0.25,0,0,-0.8,3.3,1,0.5,1,1
-0.6,-0.4,-0.7,0.3,-0.3,2,0.5,1,1,1
0.1,0,0,0,0,0,1,0.5,1,0
0.2,-0.5,-0.6,0.1,-0.1,0.3,1,1,1,1
-0.2,0,0,0.1,0,0.3,0,0.5,1,0
0,0,0,-0.8,-0.2,1.2,0.5,0.5,1,1
0.1,0,0,0.2,0.3,0.9,1,0.5,1,0
0.2,0,-0.1,-0.6,-0.4,0.9,0,1,1,0
0.1,0,0,-0.6,-0.3,0.9,1,1,1,1
-0.5,0,-0.3,0.1,-0.3,0.7,0.5,1,0,1
0.1,0,0.1,-0.6,-0.5,0.5,0,0.5,0.5,0
0.1,-0.2,-0.2,0,-0.4,0.9,0,0.5,0,0
-0.8,-0.1,0,-0.6,-0.7,1.5,0,0,0.5,0
-0.3,-0.5,-0.8,0,-0.4,1.9,1,1,1,1
